"statefips","countyfips","cv1","cv3","year","cv5","cv6","cv7","cv59","cv2","cv4","cv58","cv28","cv8","cv9","cv10","cv11","cv12","cv13","cv14","cv15","cv16","cv17","cv18","cv19","cv20","cv21","cv22","cv23","cv24","cv25","cv26","cv27","cv29","name","cv87","cv60"
"51","610",9578,,1990,,,,5660,1008,,1441,4668,,,,,,,,,,,,,,,,,,,,,2839,,,
"51","630",19027,,1990,,,,9629,550,,2597,8063,,,,,,,,,,,,,,,,,,,,,4175,,,
"51","683",27957,,1990,,,,15808,2129,,1353,10232,,,,,,,,,,,,,,,,,,,,,7526,,,
"51","685",6734,,1990,,,,3692,368,,262,2252,,,,,,,,,,,,,,,,,,,,,2208,,,
"54","037",35926,,1990,,,,17631,597,,4083,14606,,,,,,,,,,,,,,,,,,,,,10523,,,
"11","001",572059,,2000,,,,263108,73561,,70088,274845,,,,,,,,,,,,,,,,,,,,,108999,,,
"24","009",74563,,2000,,,,37604,1643,,6621,27576,,,,,,,,,,,,,,,,,,,,,25627,,,
"24","017",120546,,2000,,,,60836,3470,,9430,43903,,,,,,,,,,,,,,,,,,,,,39060,,,
"24","021",195277,,2000,,,,102856,7779,,18779,73017,,,,,,,,,,,,,,,,,,,,,60483,,,
"24","031",873341,,2000,,,,458824,232996,,97457,334632,,,,,,,,,,,,,,,,,,,,,231228,,,
"24","033",801515,,2000,,,,399355,110481,,61815,302378,,,,,,,,,,,,,,,,,,,,,197254,,,
"51","013",189453,,2000,,,,114040,52693,,17215,90426,,,,,,,,,,,,,,,,,,,,,36882,,,
"51","043",12652,,2000,,,,6563,312,,1863,5388,,,,,,,,,,,,,,,,,,,,,4902,,,
"51","047",34262,,2000,,,,16285,1193,,4124,12871,,,,,,,,,,,,,,,,,,,,,10678,,,
"51","059",969749,,2000,,,,522398,237677,,75998,359411,,,,,,,,,,,,,,,,,,,,,263445,,,
"51","061",55139,,2000,,,,28622,1982,,5844,21046,,,,,,,,,,,,,,,,,,,,,19156,,,
"51","107",169599,,2000,,,,93258,19116,,9344,62160,,,,,,,,,,,,,,,,,,,,,52792,,,
"51","153",280813,,2000,,,,144748,32186,,12914,98052,,,,,,,,,,,,,,,,,,,,,79114,,,
"51","157",6983,,2000,,,,3591,223,,964,3303,,,,,,,,,,,,,,,,,,,,,3113,,,
"51","177",90395,,2000,,,,45651,2917,,7327,33329,,,,,,,,,,,,,,,,,,,,,28756,,,
"51","179",92446,,2000,,,,45588,3713,,5379,31405,,,,,,,,,,,,,,,,,,,,,27471,,,
"51","187",31584,,2000,,,,15687,677,,3909,13299,,,,,,,,,,,,,,,,,,,,,11374,,,
"51","510",128283,,2000,,,,76584,32600,,11393,64251,,,,,,,,,,,,,,,,,,,,,23104,,,
"51","600",21498,,2000,,,,11924,5451,,2715,8204,,,,,,,,,,,,,,,,,,,,,5919,,,
"51","610",10377,,2000,,,,5857,1667,,1278,4725,,,,,,,,,,,,,,,,,,,,,2910,,,
"51","630",19279,,2000,,,,9766,997,,2523,8888,,,,,,,,,,,,,,,,,,,,,4366,,,
"51","683",35135,,2000,,,,18238,4973,,1878,12114,,,,,,,,,,,,,,,,,,,,,9226,,,
"51","685",10290,,2000,,,,5513,1543,,472,3365,,,,,,,,,,,,,,,,,,,,,3314,,,
